"age","job","marital","education","balance","housing","duration","campaign",approval
"39","blue-collar","married","primary","111","no","201","2","no"
"34","blue-collar","married","primary","455","","372","3","no"
"27","services","single","secondary","-195","yes","391","1","yes"
"32","management","single","tertiary","3616","no","165","2","no"
"57","blue-collar","married","secondary","14093","no","231","5","no"
"41","unknown","single","tertiary","1567","no","291","2","no"
"41","admin.","married","tertiary","5426","yes","149","2","no"
"30","admin.","single","tertiary","261","no","233","1","no"
"36","blue-collar","divorced","secondary","2843","no","473","1","no"
"31","unemployed","single","primary","406","no","736","1","yes"
"36","blue-collar","married","secondary","0","yes","337","1","no"
"38","management","single","tertiary","493","yes","553","1","no"
"49","technician","married","secondary","5996","no","345","2","no"
"57","services","single","primary","3777","yes","65","2","no"
"34","management","single","secondary","524","no","9","1","no"
"32","management","single","tertiary","574","yes","259","2","no"
"37","blue-collar","married","secondary","427","yes","371","3","no"
"33","self-employed","married","tertiary","483","yes","280","2","no"
"56","unemployed","married","primary","3391","no","243","1","yes"
"27","housemaid","married","primary","0","yes","435","3","no"
"21","student","single","secondary","2488","no","258","6","yes"
"58","management","married","tertiary","1517","yes","7","5","no"
"32","self-employed","married","secondary","217","yes","317","5","no"
"33","blue-collar","single","secondary","22","no","76","2","no"
"25","student","single","secondary","331","no","170","4","yes"
"25","technician","single","secondary","505","no","386","2","yes"
"30","services","married","secondary","1808","yes","83","2","no"
"22","admin.","single","secondary","4111","no","65","1","no"
"39","blue-collar","married","primary","52","no","69","1","no"
"46","management","divorced","tertiary","25","no","564","2","no"
"31","admin.","divorced","secondary","1890","yes","588","1","no"
"45","blue-collar","married","primary","419","no","113","4","no"
"32","technician","married","secondary","2693","yes","16","1","no"
"36","blue-collar","married","secondary","-231","no","779","2","no"
"51","management","single","tertiary","-55","yes","281","2","no"
"34","self-employed","single","tertiary","462","no","1877","3","yes"
"24","unemployed","single","secondary","119","no","51","1","no"
"45","technician","single","secondary","586","no","32","3","no"
"32","blue-collar","single","secondary","228","no","176","1","no"
"77","retired","divorced","tertiary","4659","no","161","1","yes"
"41","blue-collar","married","primary","168","yes","187","3","no"
"37","blue-collar","married","primary","0","yes","24","1","no"
"43","blue-collar","married","unknown","-715","yes","67","3","no"
"48","admin.","married","unknown","0","yes","85","1","no"
"27","technician","single","secondary","769","yes","317","2","no"
"33","management","single","tertiary","0","no","-98","10","no"
"29","admin.","single","secondary","428","yes","54","1","no"
"34","management","single","tertiary","0","no","71","1","no"
"52","management","married","tertiary","-970","yes","489","1","yes"
"60","management","married","unknown","6313","no","39","2","no"
"32","management","divorced","tertiary","948","no","204","2","no"
"32","management","single","tertiary","0","yes","455","2","no"
"56","services","divorced","unknown","1877","yes","86","1","no"
"31","management","single","tertiary","874","yes","190","2","no"
"42","admin.","married","secondary","323","yes","280","2","no"
"35","management","married","tertiary","106","no","588","2","no"
"56","retired","married","primary","1906","no","45","9","no"
"48","technician","married","secondary","1152","yes","168","5","no"
"46","admin.","married","secondary","179","yes","194","4","no"
"37","technician","single","unknown","391","yes","103","3","no"
"41","entrepreneur","married","unknown","89","yes","333","2","no"
"36","management","single","tertiary","442","yes","102","3","no"
"45","unemployed","divorced","primary","-249","yes","92","1","no"
"55","entrepreneur","married","secondary","8104","no","213","2","no"
"39","technician","married","secondary","501","no","289","1","no"
"35","technician","divorced","secondary","308","no","77","2","no"
"55","admin.","married","secondary","602","no","324","3","yes"
"55","technician","married","secondary","273","yes","84","3","no"
"27","self-employed","single","secondary","50","no","168","1","no"
"34","technician","married","secondary","1641","yes","380","1","no"
"34","blue-collar","married","tertiary","20","no","10","1","no"
"25","admin.","single","secondary","4590","yes","199","2","no"
"41","admin.","single","secondary","-256","no","-35","3","no"
"43","services","married","secondary","978","yes","82","2","no"
"28","management","single","tertiary","80","no","676","2","yes"
"31","admin.","single","secondary","2104","yes","455","1","no"
"78","housemaid","married","secondary","499","no","80","4","no"
"45","blue-collar","divorced","secondary","1269","yes","549","2","no"
"48","technician","married","tertiary","310","no","135","1","no"
"32","blue-collar","single","secondary","1143","yes","412","1","no"
"42","technician","married","secondary","2980","no","101","3","no"
"37","management","single","tertiary","37","no","253","2","no"
"40","admin.","single","secondary","462","yes","272","1","no"
"32","admin.","married","secondary","1031","yes","84","1","no"
"42","management","married","tertiary","9009","no","135","2","no"
"43","admin.","married","secondary","-465","yes","166","1","no"
"44","admin.","married","secondary","5181","yes","18","7","no"
"37","admin.","married","secondary","176","yes","147","2","no"
"37","unknown","married","unknown","1699","no","63","1","no"
"37","admin.","married","tertiary","0","yes","65","2","no"
"28","technician","single","tertiary","172","yes","194","2","no"
"32","services","single","secondary","0","no","333","2","no"
"34","admin.","single","secondary","6979","yes","14","5","no"
"40","admin.","divorced","secondary","6","no","140","1","no"
"34","services","married","secondary","-62","yes","109","3","no"
"34","self-employed","married","tertiary","1972","yes","61","2","no"
"34","admin.","married","tertiary","899","yes","377","3","no"
"37","services","single","secondary","21","yes","96","1","no"
"36","technician","married","secondary","23","yes","152","2","no"
"56","retired","married","secondary","-1206","yes","382","2","yes"
"49","blue-collar","married","primary","0","yes","97","6","no"
"33","self-employed","married","secondary","215","yes","543","12","no"
"30","management","single","tertiary","1372","no","240","2","no"
"36","services","married","secondary","1981","no","48","2","no"
"23","student","single","secondary","9216","no","471","2","no"
"57","retired","divorced","secondary","39","yes","354","3","no"
"27","blue-collar","single","secondary","5563","yes","435","2","no"
"38","services","married","secondary","1","no","152","2","no"
"42","technician","married","tertiary","782","no","285","1","no"
"75","retired","married","secondary","3771","no","185","1","yes"
"34","technician","single","tertiary","992","yes","301","1","no"
"48","technician","married","secondary","1526","no","273","2","no"
"35","technician","single","tertiary","2658","yes","768","2","yes"
"39","management","divorced","tertiary","1315","yes","1337","4","no"
"29","blue-collar","single","tertiary","455","no","403","1","yes"
"45","technician","single","tertiary","0","yes","139","2","no"
"42","technician","married","secondary","2030","yes","196","1","no"
"29","technician","married","secondary","1599","yes","115","1","no"
"38","services","single","secondary","-196","yes","60","1","no"
"56","retired","married","secondary","1333","no","17","14","no"
"36","technician","single","secondary","9149","yes","141","3","no"
"25","blue-collar","single","secondary","-350","yes","95","3","no"
"38","technician","married","tertiary","432","yes","10","2","no"
"57","self-employed","married","secondary","11494","no","198","1","no"
"31","management","married","tertiary","-253","no","220","4","no"
"42","management","married","tertiary","372","yes","654","2","yes"
"45","technician","married","secondary","1410","no","71","2","no"
"30","blue-collar","married","secondary","975","yes","256","2","no"
"49","blue-collar","married","primary","305","yes","834","10","no"
"49","services","married","secondary","400","no","151","3","no"
"53","retired","married","tertiary","-22","yes","20","3","no"
"37","technician","married","secondary","4030","yes","178","5","no"
"49","blue-collar","married","primary","365","no","59","2","no"
"41","self-employed","married","primary","204","no","111","7","no"
"54","management","married","primary","1691","yes","186","1","no"
"32","services","single","secondary","406","yes","227","1","no"
"33","technician","married","secondary","-204","no","297","3","no"
"33","technician","married","secondary","359","yes","210","1","no"
"36","blue-collar","married","primary","123","yes","9","1","no"
"35","technician","married","tertiary","0","yes","112","1","no"
"52","unknown","married","secondary","142","no","112","6","no"
"40","entrepreneur","married","tertiary","3571","no","222","3","no"
"44","technician","single","secondary","33","yes","195","3","no"
"45","blue-collar","single","secondary","0","yes","768","2","no"
"30","student","single","secondary","3096","no","123","1","no"
"48","technician","divorced","secondary","20","no","145","3","no"
"33","blue-collar","married","secondary","3576","yes","124","1","no"
"57","technician","married","unknown","206","yes","216","3","no"
"57","housemaid","married","primary","7082","no","69","3","no"
"51","unemployed","married","tertiary","1634","yes","168","4","no"
"34","admin.","single","secondary","1","yes","483","7","no"
"50","self-employed","married","tertiary","4012","no","690","3","no"
"44","management","married","tertiary","3762","no","125","12","no"
"27","admin.","married","secondary","-247","yes","344","2","no"
"50","blue-collar","married","secondary","606","yes","673","2","no"
"36","management","married","tertiary","0","yes","60","1","no"
"42","management","married","secondary","-189","yes","247","2","no"
"32","unemployed","single","secondary","0","no","123","2","no"
"42","management","married","tertiary","484","yes","144","2","no"
"43","technician","married","secondary","0","no","9","2","no"
"31","management","married","tertiary","395","yes","155","3","no"
"32","management","married","tertiary","2349","no","134","5","no"
"55","blue-collar","divorced","primary","410","no","221","2","no"
"58","retired","married","primary","3401","yes","84","3","no"
"46","blue-collar","married","primary","222","no","71","2","no"
"55","blue-collar","married","secondary","989","yes","246","4","no"
"34","management","married","tertiary","415","no","361","2","no"
"28","unemployed","single","secondary","16","no","119","4","no"
"42","technician","divorced","tertiary","7190","yes","375","2","no"
"29","blue-collar","single","secondary","482","no","1097","3","yes"
"54","housemaid","married","secondary","209","yes","97","1","no"
"32","technician","single","secondary","0","no","181","2","no"
"39","technician","single","tertiary","5803","no","83","3","no"
"53","entrepreneur","married","tertiary","624","no","180","4","no"
"58","technician","married","tertiary","883","no","543","1","no"
"40","self-employed","married","secondary","1516","yes","373","1","no"
"29","student","single","secondary","872","yes","230","1","no"
"33","technician","married","tertiary","-988","yes","83","3","no"
"38","admin.","single","secondary","902","yes","58","13","no"
"56","services","divorced","secondary","1007","no","88","6","no"
"40","services","married","secondary","0","yes","297","1","no"
"24","blue-collar","single","secondary","174","yes","487","1","yes"
"46","management","married","secondary","12186","no","29","3","no"
"35","self-employed","married","secondary","524","yes","484","4","no"
"35","blue-collar","single","tertiary","0","yes","262","4","no"
"34","technician","married","secondary","4","yes","644","1","no"
"35","housemaid","married","tertiary","11219","no","699","2","no"
"38","technician","single","tertiary","0","no","247","2","no"
"50","blue-collar","married","primary","5776","no","49","3","no"
"51","blue-collar","divorced","primary","37","yes","341","1","no"
"59","self-employed","married","tertiary","593","no","64","2","no"
"32","blue-collar","married","secondary","1148","yes","121","1","no"
"37","blue-collar","single","secondary","3561","yes","98","1","no"
"42","admin.","divorced","secondary","63","no","88","6","no"
"40","student","married","secondary","260","no","197","6","no"
"28","technician","single","tertiary","2269","yes","331","1","no"
"47","admin.","married","secondary","1060","yes","83","3","no"
"27","self-employed","married","secondary","-220","yes","138","2","no"
"41","management","married","tertiary","49","yes","312","5","no"
"34","admin.","married","tertiary","69","no","120","3","yes"
"50","blue-collar","married","primary","4108","yes","526","2","yes"
"47","blue-collar","married","secondary","480","yes","211","2","no"
"53","services","married","secondary","4994","no","62","6","no"
"53","technician","divorced","secondary","0","yes","135","5","no"
"47","management","married","tertiary","3681","no","101","2","no"
"49","entrepreneur","divorced","unknown","-701","yes","988","2","yes"
"29","management","married","tertiary","451","no","451","1","no"
"45","blue-collar","divorced","primary","-311","yes","1030","1","yes"
"38","entrepreneur","married","secondary","593","yes","1484","24","yes"
"32","blue-collar","married","secondary","759","yes","317","5","yes"
"70","retired","divorced","primary","4531","no","445","1","no"
"65","retired","divorced","primary","1840","no","383","2","no"
"56","blue-collar","married","secondary","345","yes","605","1","no"
"35","blue-collar","married","secondary","1287","yes","330","2","no"
"56","management","married","unknown","353","no","171","2","no"
"56","technician","married","secondary","205","no","442","2","no"
"49","entrepreneur","married","secondary","687","yes","772","1","yes"
"38","unemployed","married","primary","1147","yes","249","5","no"
"35","management","married","tertiary","4286","yes","357","1","no"
"38","admin.","married","tertiary","605","no","147","2","no"
"49","blue-collar","married","secondary","8545","yes","199","7","no"
"55","management","married","unknown","559","no","271","2","no"
"43","blue-collar","single","primary","2","yes","783","3","no"
"43","management","married","tertiary","2","no","472","2","no"
"25","admin.","single","tertiary","760","yes","223","3","yes"
"30","blue-collar","married","primary","1317","yes","395","2","no"
"46","blue-collar","married","secondary","182","no","56","1","no"
"50","admin.","married","primary","276","no","641","6","no"
"35","entrepreneur","married","secondary","2971","no","429","4","yes"
"26","unemployed","single","secondary","1064","no","113","1","no"
"45","admin.","married","unknown","1783","no","11","11","no"
"37","blue-collar","married","secondary","-67","no","157","1","no"
"60","self-employed","single","tertiary","179","no","79","4","no"
"38","management","married","tertiary","1199","no","178","1","yes"
"47","blue-collar","married","primary","214","yes","168","1","no"
"33","technician","married","secondary","6699","no","425","1","no"
"51","unemployed","married","secondary","1760","no","162","1","no"
"35","entrepreneur","single","tertiary","145","yes","-799","2","yes"
"35","unemployed","married","secondary","978","no","1370","3","yes"
"48","admin.","single","secondary","1150","yes","357","1","no"
"37","admin.","married","secondary","121","no","22","6","no"
"29","technician","single","tertiary","828","yes","215","3","no"
"34","admin.","married","secondary","244","yes","56","4","no"
"32","services","married","primary","228","yes","1017","6","yes"
"30","management","single","tertiary","424","no","298","4","yes"
"47","management","divorced","tertiary","447","no","126","1","no"
"33","blue-collar","married","primary","-195","no","9","1","no"
"33","management","single","tertiary","1410","yes","8","1","no"
"63","retired","married","primary","1084","no","201","1","no"
"51","self-employed","divorced","primary","10924","no","106","2","no"
"41","management","married","tertiary","832","yes","164","1","no"
"56","retired","married","tertiary","478","no","97","1","no"
"60","management","single","tertiary","0","no","151","1","no"
"41","self-employed","single","tertiary","3950","yes","96","2","no"
"37","management","single","unknown","504","yes","555","1","no"
"36","blue-collar","single","secondary","219","yes","270","2","no"
"57","management","married","tertiary","1602","no","339","3","no"
"55","management","married","primary","2587","no","328","2","yes"
"44","admin.","married","secondary","0","yes","159","1","no"
"47","self-employed","married","tertiary","2303","yes","323","2","no"
"31","blue-collar","married","secondary","1660","yes","342","1","no"
"35","management","married","tertiary","32","yes","180","1","no"
"39","management","married","tertiary","278","no","60","3","no"
"50","management","married","tertiary","4","no","223","1","no"
"29","management","married","tertiary","318","yes","1434","2","no"
"30","services","single","secondary","209","yes","30","2","no"
"46","services","married","secondary","271","yes","134","4","no"
"27","management","single","unknown","3196","no","10","2","no"
"48","admin.","divorced","secondary","4099","no","397","2","yes"
"26","student","single","secondary","2572","yes","620","1","no"
"36","management","single","tertiary","339","no","6","6","no"
"42","blue-collar","married","primary","0","yes","209","2","no"
"50","housemaid","married","primary","395","yes","419","2","no"
"49","blue-collar","married","secondary","2039","yes","283","2","no"
"45","management","married","tertiary","5450","no","188","2","no"
"23","student","single","secondary","780","no","267","1","no"
"38","technician","single","secondary","0","yes","196","2","no"
"32","management","single","tertiary","8436","yes","245","1","no"
"60","technician","single","primary","11262","no","323","1","yes"
"30","entrepreneur","married","secondary","946","yes","1065","1","no"
"58","housemaid","married","tertiary","497","no","138","5","no"
"60","retired","married","primary","55","no","207","1","no"
"38","services","married","secondary","-140","no","456","3","no"
"51","technician","married","secondary","-379","yes","261","1","no"
"42","admin.","married","secondary","-396","yes","80","1","no"
"30","services","single","secondary","0","yes","131","6","no"
"40","management","married","primary","733","yes","94","7","no"
"37","management","married","tertiary","393","yes","567","3","yes"
"53","technician","divorced","primary","7290","yes","153","1","no"
"27","services","single","secondary","468","yes","109","1","no"
"39","blue-collar","married","secondary","0","yes","53","1","no"
"39","blue-collar","married","primary","3705","yes","77","1","no"
"59","retired","married","tertiary","9676","no","234","2","yes"
"37","services","married","secondary","1328","yes","121","2","no"
"41","blue-collar","married","primary","8","yes","155","2","no"
"45","blue-collar","married","primary","61","no","108","1","no"
"48","management","married","tertiary","6613","no","159","3","no"
"48","technician","married","secondary","302","yes","208","3","no"
"32","blue-collar","married","secondary","1005","no","215","1","no"
"35","services","married","secondary","109","yes","597","3","no"
"33","management","single","tertiary","1240","yes","505","2","no"
"28","blue-collar","single","primary","0","yes","380","4","no"
"64","retired","married","unknown","2923","no","120","1","no"
"35","technician","married","secondary","0","no","106","4","no"
"33","blue-collar","married","secondary","43","yes","332","2","no"
"41","technician","married","secondary","288","yes","221","4","no"
"34","admin.","married","secondary","613","yes","80","1","no"
"37","technician","single","tertiary","6101","no","60","5","no"
"38","blue-collar","married","primary","168","yes","212","3","no"
"39","blue-collar","married","primary","7685","yes","493","3","no"
"35","technician","divorced","tertiary","4515","yes","98","2","no"
"28","blue-collar","single","secondary","517","no","681","1","yes"
"27","blue-collar","single","secondary","148","no","203","1","no"
"48","retired","married","primary","-285","no","157","1","no"
"50","blue-collar","married","secondary","887","no","287","1","no"
"45","self-employed","married","secondary","3098","yes","159","2","no"
"41","technician","married","tertiary","744","yes","125","1","no"
"39","technician","married","secondary","130","no","202","2","no"
"44","management","married","secondary","438","yes","37","3","no"
"54","admin.","married","secondary","0","no","161","1","yes"
"49","management","married","tertiary","322","no","72","4","no"
"34","blue-collar","single","secondary","186","no","342","1","no"
"75","retired","divorced","tertiary","3810","yes","262","1","yes"
"42","management","married","tertiary","0","no","325","2","no"
"53","blue-collar","married","secondary","4380","no","223","7","no"
"49","management","divorced","tertiary","755","no","1212","4","yes"
"31","services","single","secondary","2070","no","319","2","no"
"45","blue-collar","single","primary","999","no","182","2","no"
"39","self-employed","married","secondary","167","yes","330","1","no"
"46","technician","married","secondary","1322","yes","514","1","no"
"42","admin.","divorced","secondary","1076","yes","213","1","no"
"37","management","married","tertiary","502","yes","551","1","no"
"26","technician","single","tertiary","1216","yes","472","2","no"
"37","management","single","tertiary","876","yes","140","4","no"
"36","services","single","secondary","342","yes","142","1","no"
"29","blue-collar","single","primary","950","yes","135","3","no"
"36","blue-collar","married","primary","973","yes","293","1","no"
"26","technician","married","tertiary","3825","yes","107","1","no"
"32","blue-collar","married","secondary","2366","yes","127","2","no"
"40","management","married","tertiary","542","yes","1816","1","no"
"53","management","married","primary","995","no","200","3","no"
"29","management","married","tertiary","20","yes","418","1","no"
"34","technician","single","tertiary","228","yes","387","4","no"
"43","blue-collar","married","secondary","130","no","156","1","no"
"56","management","married","tertiary","217","no","121","2","no"
"55","entrepreneur","divorced","tertiary","0","no","108","2","no"
"31","self-employed","married","tertiary","259","yes","47","1","no"
"27","admin.","single","secondary","619","yes","16","5","no"
"36","management","married","secondary","644","yes","54","2","no"
"44","management","married","tertiary","22","yes","265","2","no"
"37","admin.","divorced","tertiary","4303","yes","168","1","no"
"30","admin.","single","secondary","239","yes","115","3","no"
"42","technician","single","secondary","275","no","31","8","no"
"30","management","married","tertiary","1221","yes","279","4","yes"
"62","retired","married","secondary","816","no","28","2","no"
"24","blue-collar","married","secondary","1222","yes","369","1","no"
"31","technician","married","secondary","2363","yes","247","1","no"
"66","retired","married","tertiary","2262","no","155","1","no"
"47","admin.","married","secondary","2","no","89","1","no"
"39","entrepreneur","married","tertiary","2","yes","180","1","no"
"35","technician","married","secondary","4508","yes","854","1","yes"
"35","admin.","divorced","secondary","-402","yes","46","1","no"
"27","technician","married","secondary","1577","yes","266","2","no"
"32","blue-collar","married","secondary","34","yes","321","2","no"
"44","management","married","tertiary","795","no","99","24","no"
"42","blue-collar","married","secondary","117","yes","147","1","no"
"34","self-employed","","tertiary","5462","no","430","1","yes"
"25","services","single","secondary","402","no","264","1","no"
"40","technician","single","secondary","641","no","156","6","no"
"43","management","divorced","tertiary","36","no","118","1","no"
"55","unemployed","married","tertiary","383","no","343","3","no"
"50","blue-collar","married","secondary","283","yes","226","3","no"
"45","management","divorced","tertiary","0","no","5","1","no"
"35","blue-collar","divorced","secondary","3102","yes","138","1","no"
"32","blue-collar","married","secondary","889","yes","185","1","yes"
"59","housemaid","married","secondary","0","no","722","1","no"
"34","self-employed","married","secondary","-370","yes","748","1","no"
"39","management","married","tertiary","-606","yes","142","1","no"
"40","management","single","secondary","10378","yes","523","3","no"
"36","blue-collar","single","primary","1313","yes","8","10","no"
"40","management","married","tertiary","8969","yes","153","1","no"
"55","self-employed","married","secondary","-196","yes","210","2","no"
"38","entrepreneur","married","secondary","15","yes","121","1","no"
"61","admin.","married","secondary","4608","no","212","1","yes"
"41","management","married","tertiary","666","yes","253","3","no"
"57","blue-collar","married","primary","452","yes","139","4","no"
"48","blue-collar","married","secondary","149","yes","71","1","no"
"77","retired","married","tertiary","7802","no","421","1","yes"
"35","services","married","secondary","1453","yes","199","1","no"
"54","blue-collar","married","secondary","1480","yes","108","1","no"
"37","management","single","unknown","715","yes","247","2","no"
"56","management","single","secondary","237","yes","236","4","no"
"40","technician","married","secondary","694","yes","97","4","no"
"40","management","married","tertiary","0","no","109","8","no"
"54","management","married","tertiary","55","yes","112","2","no"
"55","housemaid","married","primary","136","yes","15","10","no"
"55","services","divorced","secondary","-404","yes","502","3","no"
"52","blue-collar","married","primary","779","yes","30","3","no"
"55","blue-collar","single","primary","1187","yes","193","2","no"
"33","management","married","tertiary","641","yes","347","2","no"
"52","blue-collar","married","unknown","826","yes","468","2","no"
"33","services","divorced","secondary","991","yes","148","1","no"
"53","admin.","married","secondary","1796","no","295","1","yes"
"46","admin.","married","secondary","22","no","388","6","yes"
"44","technician","single","secondary","244","yes","1735","4","yes"
"48","management","divorced","tertiary","1328","yes","339","1","no"
"50","housemaid","married","secondary","7317","yes","172","1","no"
"34","technician","single","secondary","4943","yes","117","2","no"
"38","technician","single","secondary","258","no","587","2","no"
"42","management","single","tertiary","515","yes","501","2","no"
"32","management","single","tertiary","12607","no","203","5","no"
"58","admin.","married","secondary","2","yes","282","9","no"
"31","management","married","tertiary","13","no","110","5","no"
"19","student","single","primary","103","no","104","2","yes"
"41","management","married","tertiary","3872","no","231","1","no"
"31","unemployed","married","secondary","296","yes","378","3","no"
"52","self-employed","single","primary","217","no","193","6","no"
"42","self-employed","divorced","tertiary","360","yes","110","5","no"
"41","blue-collar","single","secondary","428","yes","92","1","no"
"30","blue-collar","single","secondary","315","no","1407","1","yes"
"38","blue-collar","married","secondary","121","yes","168","1","no"
"32","management","married","tertiary","820","yes","738","3","no"
"52","technician","married","secondary","195","yes","220","1","yes"
"48","management","divorced","tertiary","108","yes","89","2","no"
"36","management","married","tertiary","-381","yes","30","29","no"
"45","unemployed","divorced","primary","757","no","103","1","no"
"34","technician","married","tertiary","691","yes","70","1","no"
"36","blue-collar","married","primary","1925","yes","904","2","yes"
"34","management","married","tertiary","902","yes","159","1","no"
"61","retired","married","secondary","5207","no","336","1","no"
"54","services","married","secondary","0","no","220","1","no"
"50","entrepreneur","married","secondary","665","no","238","1","no"
"43","admin.","divorced","secondary","738","yes","585","4","no"
"47","blue-collar","married","primary","233","no","293","3","no"
"45","services","married","secondary","-839","yes","68","1","no"
"57","retired","married","primary","5799","no","97","1","no"
"27","admin.","married","secondary","1033","yes","1713","1","no"
"49","unemployed","divorced","secondary","66","no","218","3","no"
"43","services","married","primary","2567","yes","109","1","no"
"40","management","married","tertiary","1584","yes","661","1","no"
"32","services","single","secondary","182","yes","145","1","no"
"58","management","married","primary","76","yes","54","4","no"
"34","admin.","single","secondary","663","yes","111","1","no"
"46","technician","divorced","secondary","3455","yes","566","2","no"
"29","blue-collar","married","secondary","15","no","136","1","no"
"52","blue-collar","married","primary","1054","no","273","1","no"
"45","management","married","tertiary","1529","no","160","1","no"
"26","management","single","secondary","63","no","76","4","no"
"40","technician","married","tertiary","0","no","44","1","no"
"41","admin.","married","secondary","920","yes","239","1","no"
"47","admin.","single","secondary","3696","no","250","2","yes"
"27","technician","single","unknown","59","no","792","4","no"
"27","services","married","secondary","0","yes","198","13","no"
"48","blue-collar","married","secondary","157","yes","73","1","no"
"49","admin.","married","secondary","2465","no","157","3","no"
"35","blue-collar","married","primary","0","yes","90","6","no"
"47","self-employed","married","secondary","2","no","236","2","no"
"54","management","married","tertiary","0","no","118","5","no"
"39","management","single","tertiary","12437","no","40","1","no"
"28","student","single","secondary","378","yes","346","1","no"
"54","blue-collar","married","primary","211","no","200","2","no"
"34","technician","married","secondary","-228","yes","187","3","no"
